,CustomerID,Quantity,TotalPrice,NumTransactions
0,12346.0,0,0.0,2
1,12347.0,2458,4310.0,7
2,12348.0,2341,1797.24,4
3,12349.0,631,1757.55,1
4,12350.0,197,334.4,1
5,12352.0,470,1545.41,11
6,12353.0,20,89.0,1
7,12354.0,530,1079.4,1
8,12355.0,240,459.4,1
9,12356.0,1591,2811.43,3
10,12357.0,2708,6207.67,1
11,12358.0,248,1168.06,2
12,12359.0,1612,6245.53,6
13,12360.0,1165,2662.06,3
14,12361.0,91,189.9,1
15,12362.0,2212,5154.58,13
16,12363.0,408,552.0,2
17,12364.0,1506,1313.1,4
18,12365.0,173,320.69,3
19,12367.0,173,168.9,1
20,12370.0,2353,3545.69,4
21,12371.0,591,1887.96,2
22,12372.0,794,1298.04,3
23,12373.0,197,364.6,1
24,12374.0,342,742.9300000000001,1
25,12375.0,177,455.42,3
26,12377.0,944,1628.12,2
27,12378.0,2529,4008.62,1
28,12379.0,406,850.29,3
29,12380.0,1126,2720.56,5
30,12381.0,783,1803.96,6
31,12383.0,1529,1839.31,6
32,12384.0,121,566.16,3
33,12386.0,354,401.9,2
34,12388.0,1462,2780.66,6
35,12390.0,353,549.84,1
36,12391.0,300,460.89,1
37,12393.0,816,1582.6000000000001,4
38,12394.0,819,1272.48,2
39,12395.0,2113,2998.28,15
40,12397.0,1263,2409.9,2
41,12398.0,1394,1635.6599999999999,1
42,12399.0,1178,1108.65,4
43,12401.0,11,84.3,1
44,12402.0,94,225.6,1
45,12403.0,95,409.7,2
46,12405.0,857,1710.39,1
47,12406.0,1809,3280.75,3
48,12407.0,1416,1708.1200000000001,5
49,12408.0,1399,2842.57,9
50,12409.0,5543,11056.93,7
51,12410.0,209,681.0799999999999,3
52,12412.0,829,1226.88,3
53,12413.0,282,694.15,5
54,12414.0,300,562.41,3
55,12415.0,77242,123725.45,26
56,12417.0,1539,3578.8,12
57,12418.0,407,668.58,1
58,12420.0,345,600.39,1
59,12421.0,483,806.27,5
60,12422.0,370,803.5600000000001,3
61,12423.0,1327,1849.11,9
62,12424.0,740,1760.96,2
63,12425.0,496,777.2,1
64,12426.0,258,582.73,1
65,12427.0,236,708.37,5
66,12428.0,3503,7877.2,12
67,12429.0,1557,3750.4,4
